DateTime,PM10,PM2_5,O3,NO2,CO,SO2
2020-07-06:05,34,30,0.022,0.010,0.5,0.001
2020-07-06:04,34,31,0.025,0.009,0.5,0.001
2020-07-06:03,36,30,0.034,0.009,0.5,0.001
2020-07-06:02,38,29,0.032,0.011,0.5,0.001
2020-07-06:01,38,23,0.030,0.013,0.5,0.001
2020-07-05:24,38,21,0.033,0.014,0.5,0.001
2020-07-05:23,41,19,0.037,0.015,0.5,0.001
2020-07-05:22,32,15,0.044,0.013,0.5,0.001
2020-07-05:21,30,16,0.055,0.011,0.4,0.001
2020-07-05:20,25,22,0.064,0.008,0.4,0.001
2020-07-05:19,23,16,0.066,0.005,0.4,0.001
2020-07-05:18,21,13,0.065,0.004,0.3,0.001
2020-07-05:17,20,11,0.063,0.004,0.3,0.002
2020-07-05:16,24,11,0.063,0.004,0.4,0.001
2020-07-05:15,18,8,0.062,0.004,0.4,0.001
2020-07-05:14,18,11,0.063,0.004,0.3,0.001
2020-07-05:13,19,16,0.064,0.004,0.3,0.002
2020-07-05:12,11,,0.063,0.004,0.4,0.002
2020-07-05:11,20,,0.056,0.005,0.4,0.002
2020-07-05:10,33,25,0.048,0.007,0.4,0.002
2020-07-05:09,20,,0.037,0.008,0.4,0.002
2020-07-05:08,20,20,0.024,0.008,0.4,0.001
2020-07-05:07,29,24,0.015,0.009,0.4,0.001
2020-07-05:06,32,24,0.013,0.010,0.4,0.001
2020-07-05:05,34,27,0.021,0.009,0.4,0.001
2020-07-05:04,30,28,0.015,0.011,0.4,0.002
2020-07-05:03,37,26,0.023,0.011,0.4,0.001
2020-07-05:02,34,24,0.028,0.012,0.4,0.002
2020-07-05:01,27,24,0.036,0.011,0.4,0.002
2020-07-04:24,34,20,0.037,0.013,0.4,0.001
2020-07-04:23,32,16,0.043,0.015,0.4,0.001
2020-07-04:22,28,16,0.051,0.014,0.4,0.002
2020-07-04:21,32,19,0.047,0.013,0.4,0.002
2020-07-04:20,31,14,0.055,0.011,0.3,0.002
2020-07-04:19,19,10,0.058,0.008,0.3,0.002
2020-07-04:18,20,3,0.051,0.005,0.3,0.001
2020-07-04:17,16,1,0.052,0.004,0.2,0.002
2020-07-04:16,8,1,0.054,0.003,0.2,0.002
2020-07-04:15,8,1,0.059,0.004,0.2,0.002
2020-07-04:14,11,1,0.056,0.004,0.2,0.002
2020-07-04:13,6,1,0.049,0.005,0.2,0.002
2020-07-04:12,4,1,0.043,0.003,0.2,0.002
2020-07-04:11,8,2,0.041,0.003,0.2,0.002
2020-07-04:10,2,,0.039,0.003,0.2,0.002
2020-07-04:09,3,,0.035,0.004,0.2,0.002
2020-07-04:08,21,11,0.017,0.010,0.3,0.002
2020-07-04:07,21,15,0.013,0.009,0.3,0.002
2020-07-04:06,25,12,0.016,0.007,0.3,0.001
2020-07-04:05,26,8,0.020,0.008,0.3,0.002
2020-07-04:04,15,4,0.025,0.007,0.3,0.002
2020-07-04:03,5,1,0.040,0.003,0.2,0.002
2020-07-04:02,6,2,0.043,0.003,0.2,0.002
2020-07-04:01,10,5,0.042,0.002,0.2,0.001
2020-07-03:24,5,,0.040,0.003,0.2,0.002
2020-07-03:23,14,12,0.034,0.005,0.3,0.002
2020-07-03:22,18,15,0.031,0.007,0.3,0.002
2020-07-03:21,26,13,0.029,0.011,0.3,0.002
2020-07-03:20,24,12,0.031,0.014,0.3,0.002
2020-07-03:19,26,7,0.039,0.009,0.3,0.002
2020-07-03:18,25,4,0.050,0.005,0.3,0.002
2020-07-03:17,21,3,0.054,0.005,0.3,0.002
2020-07-03:16,18,4,0.054,0.005,0.3,0.002
2020-07-03:15,21,10,0.048,0.004,0.3,0.002
2020-07-03:14,36,15,0.042,0.004,0.3,0.002
2020-07-03:13,21,14,0.041,0.004,0.3,0.002
2020-07-03:12,11,,0.046,0.004,0.3,0.002
2020-07-03:11,20,12,0.050,0.004,0.4,0.002
2020-07-03:10,22,12,0.041,0.007,0.4,0.002
2020-07-03:09,11,11,0.029,0.008,0.4,0.002
2020-07-03:08,13,13,0.016,0.010,0.4,0.002
2020-07-03:07,26,15,0.008,0.010,0.4,0.002
2020-07-03:06,30,19,0.006,0.009,0.4,0.002
2020-07-03:05,29,21,0.007,0.010,0.4,0.002
2020-07-03:04,36,19,0.008,0.009,0.4,0.002
2020-07-03:03,34,20,0.011,0.010,0.4,0.002
2020-07-03:02,32,18,0.013,0.010,0.4,0.001
2020-07-03:01,40,17,0.019,0.010,0.4,0.002
2020-07-02:24,25,17,0.022,0.011,0.4,0.002
2020-07-02:23,28,14,0.021,0.015,0.4,0.002
2020-07-02:22,36,11,0.024,0.014,0.4,0.002
2020-07-02:21,32,12,0.032,0.012,0.4,0.002
2020-07-02:20,34,14,0.043,0.011,0.4,0.002
2020-07-02:19,29,14,0.047,0.007,0.3,0.002
2020-07-02:18,18,12,0.045,0.005,0.3,0.001
2020-07-02:17,27,10,0.044,0.005,0.3,0.001
2020-07-02:16,21,11,0.050,0.004,0.3,0.002
2020-07-02:15,14,14,0.052,0.005,0.3,0.002
2020-07-02:14,18,16,0.056,0.005,0.3,0.002
2020-07-02:13,28,19,0.059,0.007,0.4,0.002
2020-07-02:12,32,19,0.050,0.007,0.4,0.002
2020-07-02:11,24,18,0.036,0.007,0.4,0.002
2020-07-02:10,24,14,0.020,0.011,0.4,0.002
2020-07-02:09,40,12,0.008,0.010,0.4,0.001
2020-07-02:08,36,14,0.006,0.008,0.4,0.001
2020-07-02:07,37,14,0.005,0.008,0.4,0.001
2020-07-02:06,31,14,0.004,0.008,0.4,0.001
2020-07-02:05,25,13,0.004,0.007,0.4,0.001
2020-07-02:04,24,11,0.005,0.007,0.4,0.001
2020-07-02:03,23,14,0.002,0.007,0.4,0.001
2020-07-02:02,27,11,0.003,0.008,0.4,0.001
2020-07-02:01,13,10,0.002,0.009,0.4,0.001
2020-07-01:24,25,12,0.004,0.011,0.4,0.001
2020-07-01:23,30,12,0.007,0.012,0.4,0.001
2020-07-01:22,22,7,0.015,0.011,0.4,0.001
2020-07-01:21,28,9,0.024,0.009,0.4,0.001
2020-07-01:20,29,10,0.034,0.009,0.4,0.001
2020-07-01:19,24,11,0.038,0.007,0.3,0.001
2020-07-01:18,20,9,0.041,0.005,0.3,0.001
2020-07-01:17,12,7,0.040,0.005,0.3,0.001
2020-07-01:16,10,6,0.041,0.005,0.3,0.001
2020-07-01:15,14,7,0.039,0.004,0.3,0.001
2020-07-01:14,5,5,0.036,0.004,0.3,0.001
2020-07-01:13,14,5,0.025,0.006,0.3,0.001
2020-07-01:12,20,6,0.018,0.009,0.3,0.001
2020-07-01:11,21,6,0.017,0.008,0.3,0.001
2020-07-01:10,6,4,0.016,0.008,0.3,0.001
2020-07-01:09,6,5,0.013,0.010,0.3,0.001
2020-07-01:08,14,4,0.010,0.010,0.3,0.001
2020-07-01:07,11,4,0.009,0.009,0.3,0.001
2020-07-01:06,16,7,0.013,0.006,0.3,0.001
2020-07-01:05,13,7,0.014,0.005,0.3,0.001
2020-07-01:04,12,10,0.016,0.004,0.3,0.002
2020-07-01:03,10,10,0.020,0.004,0.3,0.001
2020-07-01:02,9,,0.021,0.004,0.3,0.001
2020-07-01:01,7,7,0.020,0.006,0.3,0.001
2020-06-30:24,4,2,0.020,0.006,0.3,0.001
2020-06-30:23,8,1,0.026,0.006,0.3,0.001
2020-06-30:22,5,1,0.026,0.007,0.3,0.001
2020-06-30:21,8,1,0.027,0.008,0.3,0.001
2020-06-30:20,10,2,0.036,0.007,0.3,0.001
2020-06-30:19,9,4,0.043,0.005,0.3,0.001
2020-06-30:18,7,4,0.041,0.004,0.2,0.001
2020-06-30:17,10,2,0.038,0.004,0.2,0.001
2020-06-30:16,4,2,0.036,0.004,0.3,0.001
2020-06-30:15,5,2,0.041,0.004,0.3,0.001
2020-06-30:14,4,1,0.040,0.004,0.3,0.001
2020-06-30:13,8,3,0.042,0.003,0.3,0.001
2020-06-30:12,6,1,0.042,0.003,0.3,0.001
2020-06-30:11,3,1,0.044,0.003,0.3,0.001
2020-06-30:10,2,1,0.051,0.003,0.3,0.001
2020-06-30:09,2,1,0.047,0.004,0.3,0.001
2020-06-30:08,6,1,0.046,0.004,0.3,0.001
2020-06-30:07,18,2,0.053,0.003,0.3,0.001
2020-06-30:06,4,4,0.061,0.002,0.3,0.001
2020-06-30:05,8,7,0.068,0.002,0.3,0.001
2020-06-30:04,4,3,0.065,0.001,0.3,0.001
2020-06-30:03,13,1,0.055,0.002,0.3,0.001
2020-06-30:02,14,3,0.055,0.002,0.3,0.001
2020-06-30:01,26,8,0.053,0.002,0.3,0.001
2020-06-29:24,23,13,0.049,0.003,0.4,0.001
2020-06-29:23,20,18,0.049,0.004,0.4,0.001
2020-06-29:22,19,,0.049,0.004,0.4,0.001
2020-06-29:21,28,27,0.044,0.005,0.4,0.001
2020-06-29:20,36,22,0.037,0.006,0.5,0.001
2020-06-29:19,48,22,0.019,0.018,0.5,0.001
2020-06-29:18,44,23,0.026,0.015,0.5,0.001
2020-06-29:17,53,23,0.034,0.015,0.5,0.001
2020-06-29:16,44,22,0.038,0.013,0.5,0.001
2020-06-29:15,38,20,0.041,0.010,0.4,0.001
2020-06-29:14,49,24,0.047,0.008,0.4,0.001
2020-06-29:13,43,24,0.051,0.008,0.4,0.002
2020-06-29:12,39,23,0.032,0.014,0.5,0.002
2020-06-29:11,38,21,0.024,0.014,0.4,0.002
2020-06-29:10,27,18,0.021,0.010,0.4,0.001
2020-06-29:09,25,17,0.016,0.008,0.4,0.002
2020-06-29:08,20,16,0.014,0.006,0.4,0.001
2020-06-29:07,24,18,0.007,0.006,0.4,0.001
2020-06-29:06,36,21,0.002,0.009,0.4,0.001
2020-06-29:05,33,22,0.003,0.009,0.4,0.001
2020-06-29:04,30,22,0.005,0.008,0.4,0.001
2020-06-29:03,40,25,0.007,0.009,0.4,0.001
2020-06-29:02,37,22,0.009,0.010,0.4,0.001
2020-06-29:01,34,21,0.011,0.011,0.4,0.001
2020-06-28:24,40,21,0.016,0.013,0.4,0.001
2020-06-28:23,42,16,0.019,0.014,0.4,0.001
2020-06-28:22,35,14,0.025,0.012,0.4,0.001
2020-06-28:21,28,14,0.032,0.009,0.4,0.001
2020-06-28:20,42,17,0.040,0.005,0.4,0.001
2020-06-28:19,34,17,0.051,0.005,0.3,0.002
2020-06-28:18,34,14,0.053,0.005,0.3,0.001
2020-06-28:17,24,12,0.051,0.004,0.3,0.001
2020-06-28:16,20,14,0.049,0.004,0.3,0.002
2020-06-28:15,15,,0.049,0.003,0.3,0.002
2020-06-28:14,28,22,0.055,0.004,0.3,0.002
2020-06-28:13,21,18,0.057,0.005,0.4,0.002
2020-06-28:12,22,15,0.055,0.006,0.4,0.002
2020-06-28:11,17,13,0.044,0.006,0.4,0.001
2020-06-28:10,18,11,0.037,0.006,0.4,0.001
2020-06-28:09,23,11,0.035,0.006,0.4,0.001
2020-06-28:08,19,11,0.037,0.005,0.4,0.001
2020-06-28:07,18,12,0.037,0.004,0.4,0.001
2020-06-28:06,19,13,0.041,0.003,0.4,0.002
2020-06-28:05,28,10,0.032,0.004,0.4,0.001
2020-06-28:04,22,12,0.029,0.004,0.4,0.001
2020-06-28:03,27,14,0.037,0.004,0.4,0.001
2020-06-28:02,28,15,0.025,0.006,0.4,0.001
2020-06-28:01,17,10,0.031,0.006,0.4,0.001
2020-06-27:24,24,6,0.040,0.008,0.4,0.001
2020-06-27:23,20,12,0.050,0.009,0.4,0.001
2020-06-27:22,36,22,0.067,0.006,0.4,0.001
2020-06-27:21,47,26,0.077,0.007,0.4,0.002
2020-06-27:20,57,26,0.085,0.011,0.5,0.002
2020-06-27:19,50,25,0.096,0.011,0.5,0.002
2020-06-27:18,32,20,0.103,0.011,0.5,0.002
2020-06-27:17,37,17,0.086,0.008,0.4,0.002
2020-06-27:16,29,16,0.073,0.006,0.4,0.002
2020-06-27:15,24,14,0.065,0.005,0.4,0.001
2020-06-27:14,24,15,0.058,0.005,0.4,0.002
2020-06-27:13,20,15,0.056,0.005,0.4,0.002
2020-06-27:12,32,17,0.057,0.006,0.4,0.002
